condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
agent-browser,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:25.792Z,true,95121,94966,222,0,0.03239805,7.769,3,0,0
pinchtab,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:26.490Z,true,62740,62030,148,0,0.023489250000000003,8.738,2,0,0
agent-browser-axi,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:26.572Z,true,63162,40049,151,0,0.10095119999999999,8.905,2,0,0
chrome-devtools-mcp,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:30.756Z,true,139866,117046,178,0,0.12335579999999999,13.062,3,0,0
chrome-devtools-mcp-search,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:31.381Z,true,126678,103228,341,0,0.12401565,13.051,4,0,0
chrome-devtools-mcp-compressed-cli,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:33:34.322Z,true,94557,71444,240,0,0.11170395000000001,16.673,3,0,0
agent-browser-axi,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:38.493Z,true,63151,40046,146,0,0.1008453,8.814,2,0,0
pinchtab,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:42.018Z,true,94065,89942,217,0,0.04569585,12.041,3,0,0
agent-browser,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:45.379Z,true,95101,94778,217,0,0.03289665,15.185,3,0,0
chrome-devtools-mcp,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:45.986Z,true,138258,115594,178,0,0.12233520000000002,12.09,3,0,0
chrome-devtools-mcp-search,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:47.127Z,true,126636,103042,331,0,0.12434984999999998,12.695,4,0,0
agent-browser-axi,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:33:50.778Z,true,63151,40046,149,0,0.1008903,9.02,2,0,0
pinchtab,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:33:54.635Z,true,62714,62030,124,0,0.02303175,7.006,2,0,0
agent-browser,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:33:56.682Z,true,95113,94611,223,0,0.0336078,8.04,3,0,0
